player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
mummAy,NYFU,chamber,230.0,1.13,75,146.7,0.80,0.23,0.17,0.09,21,35
Harmful,TSM.A,chamber,229.1,1.17,68,146.0,0.84,0.14,0.17,0.15,31,13
Mute,Mute,chamber,227.7,1.15,70,146.6,0.82,0.08,0.16,0.10,32,8
AAK,WBG,chamber,227.2,1.27,74,145.5,0.84,0.11,0.14,0.09,26,18
jcrueL,COL,chamber,226.0,1.39,74,137.6,0.84,0.12,0.15,0.06,18,11
FireBallOps,BBG.A,chamber,225.7,1.15,70,146.6,0.81,0.11,0.15,0.11,33,19
Enjoy,ZMM.B,chamber,225.7,1.17,73,144.4,0.80,0.17,0.11,0.10,26,20
qxv,owna,chamber,224.0,1.24,72,146.6,0.81,0.10,0.13,0.08,32,20
clawdia,CLG,chamber,223.5,1.20,70,145.9,0.80,0.13,0.18,0.12,27,8
NakJi,MARU,chamber,221.9,1.17,71,148.7,0.79,0.19,0.14,0.09,24,6
Mixwell,G2,chamber,221.7,1.11,72,142.2,0.79,0.19,0.15,0.09,21,22
Enzo,TLPR,chamber,221.1,1.26,77,149.4,0.82,0.15,0.13,0.07,30,8
Tkaz,LT,chamber,221.1,1.12,71,148.8,0.82,0.15,0.11,0.06,30,6
AAAAY,Totoro,chamber,219.8,1.26,73,147.6,0.83,0.13,0.11,0.09,29,23
ColdFish,ColdFish,chamber,219.4,1.15,71,143.9,0.76,0.20,0.12,0.09,19,10
ZexRow,DZ,chamber,218.7,1.28,73,136.7,0.80,0.14,0.10,0.06,24,18
Cohburg,Cohburg,chamber,218.6,1.21,72,143.5,0.80,0.14,0.19,0.12,30,17
Ltomlee,Ltomlee,chamber,217.8,1.16,70,143.2,0.79,0.20,0.12,0.09,22,12
c4Lypso,Clan,chamber,217.5,1.25,71,140.6,0.80,0.13,0.15,0.09,35,12
d4v41,PRX,chamber,217.0,1.14,71,146.7,0.77,0.18,0.10,0.10,27,3
Nothin,Nothin,chamber,215.5,0.96,64,140.9,0.76,0.13,0.11,0.16,31,8
kev,RID,chamber,215.3,1.01,68,142.6,0.79,0.16,0.18,0.14,26,20
FAIRY,Roul,chamber,214.2,1.00,67,137.5,0.78,0.15,0.15,0.12,22,14
cece,cece,chamber,213.1,1.05,63,137.8,0.75,0.17,0.13,0.13,29,10
Daicute,CES,chamber,213.0,0.99,70,142.3,0.74,0.18,0.11,0.12,19,9
agM,COL,chamber,212.5,1.10,69,139.6,0.77,0.16,0.12,0.10,27,15
Kay,IMT,chamber,212.3,1.20,73,138.1,0.76,0.15,0.12,0.10,30,17
Stealthy,CD,chamber,211.1,1.17,67,129.1,0.76,0.12,0.14,0.09,19,12
DVDOV,Frag,chamber,211.1,1.04,71,135.9,0.72,0.20,0.13,0.11,24,15
ApeX,MR,chamber,210.9,1.03,70,140.6,0.77,0.12,0.14,0.13,37,12
Sand,RAAD,chamber,210.4,1.23,75,142.8,0.78,0.18,0.13,0.07,34,17
Lessa,FSN,chamber,209.5,1.16,69,139.3,0.78,0.16,0.11,0.11,23,14
Bankroft,S2P,chamber,208.4,1.14,71,134.1,0.74,0.16,0.13,0.12,25,22
bld,Trop,chamber,207.9,1.12,70,137.4,0.77,0.14,0.15,0.12,33,11
LeeLee,GEN.B,chamber,207.6,1.12,72,130.8,0.73,0.17,0.12,0.10,24,16
tokyo,ZMM.S,chamber,207.5,1.09,66,133.0,0.80,0.08,0.15,0.11,22,19
laddermoves,laddermoves,chamber,207.3,1.09,65,135.5,0.76,0.13,0.12,0.12,19,19
neT,TGRD,chamber,206.9,1.08,67,129.0,0.74,0.11,0.13,0.11,31,24
Yuk1no,Toe,chamber,206.5,1.12,68,140.4,0.77,0.13,0.13,0.11,34,23
DxN,GX,chamber,205.0,1.07,71,137.3,0.76,0.16,0.12,0.10,21,6
Ethan,NRG,chamber,204.6,1.04,70,134.6,0.72,0.15,0.13,0.13,23,17
Migstur,Migstur,chamber,204.3,1.02,70,135.4,0.75,0.16,0.11,0.09,25,12
flowerful,SR,chamber,203.9,1.10,71,135.0,0.73,0.15,0.12,0.11,25,7
SwayZ,SwayZ,chamber,203.8,1.08,68,133.4,0.76,0.12,0.12,0.09,31,8
rood,FOGU,chamber,203.4,1.06,71,132.4,0.74,0.17,0.16,0.09,22,24
d1msumboi,TS,chamber,203.2,1.07,69,137.3,0.74,0.12,0.13,0.12,36,5
kaz,kaz,chamber,202.7,0.99,68,134.4,0.73,0.17,0.11,0.13,28,12
EMENK,19,chamber,202.4,1.25,73,127.8,0.75,0.17,0.14,0.08,25,14
bNhardneja,hPw,chamber,200.7,1.17,68,129.3,0.75,0.12,0.10,0.08,21,9
duck,TB,chamber,200.5,0.94,65,130.8,0.70,0.15,0.15,0.09,24,6
Rustun,OXGA,chamber,200.1,0.97,68,130.9,0.68,0.18,0.13,0.11,26,19
Luke,Luke,chamber,199.7,1.10,71,138.7,0.71,0.16,0.11,0.09,28,14
ChurmZ,CD,chamber,195.5,0.99,65,123.0,0.70,0.16,0.18,0.16,19,13
Serving,Serving,chamber,194.1,0.88,68,127.5,0.70,0.11,0.15,0.11,21,7
Violette,TMV,chamber,186.1,0.91,68,124.9,0.67,0.15,0.09,0.12,23,13
jekor,TLPR,chamber,184.8,0.85,62,129.9,0.66,0.17,0.11,0.12,31,14
iDex,S1,chamber,183.4,0.81,67,124.4,0.65,0.14,0.11,0.17,36,14
Maxeee,KDM,chamber,178.5,0.92,60,117.8,0.65,0.09,0.13,0.10,22,21
bmVz,FCY,chamber,166.4,0.86,73,106.6,0.59,0.14,0.11,0.10,28,12
Babytz,X10F,cypher,238.0,1.36,78,146.4,0.84,0.28,0.13,0.08,18,14
chiwawa,XL,cypher,226.4,1.19,73,147.8,0.81,0.22,0.10,0.08,31,19
KOLER,Skwi,cypher,218.2,1.14,71,139.9,0.78,0.15,0.14,0.09,29,
Benkai,PRX,cypher,206.9,1.16,75,133.4,0.72,0.27,0.06,0.07,23,22
bezn1,NIP,cypher,206.3,1.08,72,132.7,0.73,0.24,0.09,0.08,24,14
Feeqn,WAVE,cypher,203.7,1.07,70,133.9,0.70,0.28,0.07,0.08,22,17
Sushiboys,XIA,cypher,200.7,1.07,74,126.7,0.69,0.28,0.11,0.04,29,8
mega,UNKT,cypher,196.2,1.03,69,130.9,0.68,0.16,0.08,0.08,24,17
YouBreak,AWAR,cypher,193.4,1.01,72,128.3,0.70,0.24,0.10,0.08,24,14
Bankroft,S2P,cypher,193.3,1.11,75,125.6,0.68,0.28,0.07,0.09,19,16
bucher,FKS,cypher,192.3,1.33,77,128.5,0.75,0.20,0.05,0.04,38,22
RelliK,TR,cypher,179.1,0.93,69,116.1,0.64,0.18,0.04,0.07,31,12
blu,CAOS,cypher,178.4,0.91,70,125.1,0.67,0.21,0.10,0.14,25,8
Ayaaa,GXR,jett,304.0,1.53,79,188.0,1.04,0.20,0.34,0.13,28,
dodonut,TSM.X,jett,300.3,1.64,76,185.4,1.05,0.19,0.30,0.12,20,25
whz,Toe,jett,299.2,1.44,71,189.1,1.07,0.14,0.22,0.15,32,16
BABYBAY,FaZe,jett,294.9,1.51,74,189.6,1.01,0.19,0.26,0.16,26,5
leaf,C9,jett,286.8,1.37,72,175.4,0.97,0.23,0.25,0.17,25,29
Yue,Yue,jett,285.0,1.28,75,171.1,0.97,0.17,0.25,0.12,22,13
gin,AE,jett,284.7,1.26,70,182.8,0.98,0.17,0.26,0.19,27,12
Alexy,BRNV,jett,282.2,1.35,74,180.7,0.97,0.24,0.24,0.17,28,19
JohnOlsen,FS,jett,282.0,1.46,75,172.4,1.01,0.14,0.24,0.14,28,14
enerii,enerii,jett,280.1,1.31,79,171.2,0.96,0.25,0.28,0.14,24,23
capriciouS,capriciouS,jett,279.7,1.44,73,181.1,0.99,0.19,0.19,0.14,30,13
Foxy9,RIG,jett,279.3,1.37,75,172.7,0.99,0.13,0.24,0.14,28,24
bstrdd,TL,jett,274.5,1.46,73,174.9,0.98,0.14,0.26,0.11,34,
RockeT,GKE,jett,273.6,1.31,70,167.5,0.97,0.13,0.20,0.14,34,15
Harmful,TSM.A,jett,273.1,1.26,67,167.6,0.96,0.16,0.31,0.21,27,27
Kamiyu,Kamiyu,jett,272.2,1.32,74,172.8,0.94,0.22,0.17,0.12,26,21
koalanoob,Ghost,jett,272.1,1.48,75,168.3,0.95,0.18,0.25,0.17,23,9
n1zzy,DXG,jett,270.8,1.29,74,176.4,0.95,0.19,0.20,0.15,31,16
ZmjjKK,EDG,jett,269.3,1.28,68,163.5,0.97,0.15,0.24,0.18,20,
sym,LT,jett,268.4,1.38,71,169.9,0.97,0.13,0.23,0.15,35,21
rawfiul,Enigma,jett,266.4,1.37,71,167.4,0.96,0.11,0.22,0.13,35,10
infiltrator,infiltrator,jett,265.2,1.26,70,170.2,0.95,0.14,0.21,0.19,30,15
Mojer,STRM,jett,264.8,1.23,71,167.0,0.92,0.22,0.19,0.16,25,24
Neon,Akre,jett,264.7,1.42,77,162.6,0.94,0.17,0.21,0.15,18,14
Smoggy,Smoggy,jett,264.6,1.35,72,169.4,0.96,0.17,0.19,0.15,34,17
Polvi,TEN,jett,263.7,1.27,71,169.0,0.91,0.17,0.22,0.16,23,6
Bazzi,ONS,jett,262.9,1.41,75,158.2,0.89,0.16,0.22,0.14,17,11
Life,SJG,jett,262.6,1.45,75,170.4,0.92,0.17,0.18,0.13,32,28
Daniel0,BTS,jett,262.6,1.36,73,164.4,0.92,0.15,0.25,0.16,29,22
JUGi,FKS,jett,262.5,1.46,74,163.1,0.91,0.18,0.23,0.13,21,9
DeepMans,WAVE,jett,262.5,1.36,73,162.8,0.96,0.12,0.22,0.07,36,7
Muffyn,X10F,jett,260.0,1.47,77,170.3,0.91,0.23,0.20,0.14,21,17
Cryocells,XSET,jett,259.5,1.40,68,160.4,0.97,0.08,0.21,0.18,25,10
forbanz,forbanz,jett,259.0,1.35,70,161.4,0.94,0.14,0.18,0.14,27,16
Munchkin,CR,jett,258.9,1.24,74,161.2,0.86,0.18,0.28,0.15,25,14
f0rsakeN,PRX,jett,257.4,1.24,74,164.5,0.91,0.17,0.23,0.18,26,10
aspas,LLL,jett,257.2,1.46,77,160.8,0.92,0.17,0.17,0.14,27,7
jzz,MIBR,jett,256.7,1.19,73,161.5,0.89,0.15,0.27,0.16,31,
WhyYou,WhyYou,jett,256.3,1.27,72,167.2,0.89,0.18,0.20,0.13,28,18
Jemkin,CGV,jett,256.2,1.29,72,165.5,0.90,0.15,0.21,0.12,38,25
Chibab,MARU,jett,255.9,1.11,70,162.4,0.85,0.22,0.23,0.21,22,10
Dragon,Dragon,jett,255.9,1.21,65,159.9,0.92,0.12,0.24,0.14,31,24
KnightRider,RNT,jett,255.1,1.23,67,162.9,0.92,0.09,0.25,0.19,32,14
shooterR,Snakes,jett,255.1,1.22,71,163.8,0.91,0.15,0.22,0.16,36,9
TheGuyEdudz,TheGuyEdudz,jett,254.5,1.08,68,168.1,0.85,0.22,0.23,0.22,26,18
alexiiik,alexiiik,jett,254.1,1.21,66,157.5,0.90,0.15,0.22,0.18,25,11
Reduxx,OXGA,jett,254.0,1.29,74,160.4,0.91,0.17,0.18,0.13,28,13
t3xture,DK,jett,253.9,1.23,70,161.7,0.89,0.14,0.23,0.19,31,16
Redneval,FCY,jett,253.0,1.10,68,154.5,0.88,0.15,0.27,0.20,27,8
Pine,TMV,jett,252.8,1.07,66,152.8,0.85,0.17,0.19,0.19,26,17
Ninebody,Ninebody,jett,252.6,1.20,72,161.6,0.87,0.19,0.19,0.15,29,11
Monyet,Monyet,jett,252.4,1.18,70,161.2,0.89,0.17,0.19,0.17,24,19
Chels,+22,jett,252.4,1.16,70,157.1,0.88,0.20,0.19,0.18,15,12
Sayaplayer,TGRD,jett,251.9,1.42,71,156.1,0.92,0.10,0.20,0.15,29,14
Katriggered,VX,jett,251.6,1.33,74,154.4,0.87,0.16,0.19,0.12,14,24
dynamic,The,jett,251.5,1.27,70,154.5,0.91,0.14,0.20,0.17,24,12
tech,YFP,jett,250.8,1.11,71,157.0,0.87,0.18,0.21,0.17,26,18
Ayumiii,Ayumiii,jett,250.4,1.45,78,155.0,0.91,0.19,0.14,0.09,24,26
Noxy,ARES,jett,250.0,1.22,74,157.1,0.86,0.18,0.20,0.14,23,13
ScrewFace,DZ,jett,249.2,1.22,70,158.2,0.87,0.16,0.21,0.14,21,24
ALIVE,FNST,jett,248.8,1.28,69,161.5,0.90,0.15,0.22,0.16,26,19
Vera,GX,jett,246.8,1.14,71,160.6,0.86,0.20,0.19,0.17,26,14
xuss,AM,jett,246.7,1.21,72,156.7,0.87,0.16,0.19,0.17,25,16
Yoshii,TS,jett,246.6,1.21,70,151.3,0.93,0.13,0.24,0.20,26,13
SkRossi,GES,jett,246.1,1.15,69,153.7,0.87,0.13,0.22,0.19,24,17
Tisora,B4,jett,245.6,1.11,72,155.3,0.83,0.20,0.18,0.14,20,11
heat,VK,jett,245.5,1.26,70,162.4,0.90,0.13,0.20,0.14,31,13
jcrueL,COL,jett,245.2,1.29,74,153.2,0.88,0.14,0.17,0.09,15,13
ban,PK,jett,245.2,1.19,71,153.2,0.86,0.16,0.22,0.13,28,11
Goaster,MDR,jett,244.9,1.27,71,148.4,0.84,0.15,0.22,0.17,25,14
Deadly10,RGE,jett,244.4,1.22,70,153.5,0.86,0.14,0.20,0.15,28,18
JA,JA,jett,243.8,1.13,65,154.2,0.86,0.12,0.20,0.19,27,25
1TaPGoD,TR,jett,243.0,1.13,64,150.8,0.85,0.14,0.22,0.19,30,9
duck,TB,jett,242.6,1.17,68,160.9,0.89,0.15,0.22,0.19,32,
Kanove,Blac,jett,242.1,1.01,63,156.4,0.79,0.14,0.21,0.21,22,
Masic,SUR,jett,241.4,1.29,73,155.2,0.85,0.16,0.17,0.11,25,18
let,B4A,jett,241.0,1.17,71,150.4,0.87,0.18,0.24,0.19,26,29
Risorah,SRN.P,jett,241.0,1.12,69,159.8,0.85,0.17,0.17,0.14,30,
DEATHMAKER,VLT,jett,240.2,1.21,69,156.0,0.85,0.13,0.20,0.15,32,15
Tacolilla,LEV,jett,239.2,1.27,73,152.6,0.84,0.18,0.21,0.17,20,17
kamo,NOM,jett,238.6,1.08,72,160.9,0.88,0.17,0.19,0.18,28,13
lule,CAOS,jett,238.4,1.25,71,153.8,0.92,0.18,0.21,0.16,20,43
Leare,TQ,jett,238.1,1.12,64,152.2,0.85,0.09,0.17,0.21,34,17
Georggyyy,APH,jett,237.5,1.05,68,151.1,0.83,0.16,0.20,0.16,27,13
Envious,SMG,jett,236.9,1.22,75,149.9,0.84,0.20,0.23,0.18,20,26
Okeanos,BAL,jett,236.9,1.03,65,153.5,0.84,0.15,0.24,0.14,28,
yay,OPTC,jett,236.2,1.24,73,151.7,0.85,0.14,0.20,0.17,27,6
Bobovo,Bobovo,jett,235.8,1.05,71,145.5,0.80,0.19,0.27,0.16,19,
dodo,dodo,jett,235.5,1.22,72,145.4,0.87,0.15,0.17,0.16,26,32
Krysme,BCG,jett,235.4,1.15,70,153.8,0.83,0.20,0.15,0.16,24,18
NoMan,OF,jett,234.9,1.04,70,145.1,0.78,0.17,0.27,0.18,24,
alvar,FAL,jett,234.9,1.18,67,149.9,0.88,0.11,0.21,0.18,29,17
Sway,Coul,jett,234.8,1.05,66,148.1,0.80,0.14,0.20,0.21,20,4
high,high,jett,234.6,1.24,73,149.7,0.84,0.16,0.20,0.14,27,20
Attention,GFN,jett,234.3,1.17,73,154.7,0.81,0.15,0.15,0.12,25,7
zeldris,MR,jett,234.3,1.15,66,148.6,0.84,0.12,0.19,0.20,26,15
SpringMo,CBT,jett,234.3,1.01,67,148.3,0.79,0.15,0.19,0.15,34,16
Meteor,NTH,jett,234.2,1.02,67,147.3,0.81,0.14,0.21,0.19,26,17
dip,FWOG,jett,234.1,1.14,73,156.1,0.83,0.16,0.18,0.08,25,9
Lorri,SR,jett,234.0,1.14,72,147.5,0.81,0.18,0.13,0.10,20,11
kyrrz,19,jett,233.7,1.36,71,149.7,0.86,0.12,0.13,0.17,26,17
Will,100T,jett,233.6,1.17,68,146.6,0.82,0.20,0.16,0.15,18,28
aimhunterr,GKE,jett,233.1,1.23,70,143.1,0.83,0.14,0.17,0.12,26,29
Sato,puGG,jett,232.8,1.11,63,146.6,0.83,0.10,0.16,0.16,33,5
sae,PK.A,jett,232.6,1.17,70,145.0,0.83,0.15,0.21,0.15,20,19
xand,NIP,jett,232.4,1.08,67,141.5,0.82,0.12,0.15,0.16,23,13
Kadoom,SPE,jett,231.8,1.06,68,148.2,0.81,0.16,0.22,0.20,28,33
Surf,XIA,jett,231.7,1.17,70,143.2,0.83,0.14,0.18,0.14,23,8
Julia,IMT,jett,231.3,1.34,74,145.5,0.84,0.11,0.16,0.10,33,17
blurred,NS,jett,231.1,1.16,68,148.4,0.82,0.17,0.19,0.13,19,24
BerserX,BME,jett,230.8,1.18,71,145.7,0.81,0.16,0.21,0.16,23,23
Isla,DART,jett,230.0,1.09,68,147.4,0.82,0.15,0.18,0.17,34,21
Zap,Trys,jett,229.9,1.09,72,147.3,0.78,0.20,0.18,0.15,23,7
jas,owna,jett,229.6,1.07,69,144.3,0.81,0.18,0.17,0.23,29,
BladeZ,ATHZ,jett,229.4,1.21,73,146.1,0.82,0.13,0.19,0.17,29,5
Ambi,CASE,jett,229.4,1.17,74,145.9,0.80,0.18,0.22,0.16,26,13
Slag,Tagl,jett,229.3,1.07,66,145.3,0.79,0.11,0.25,0.19,28,7
saiko,AWAR,jett,229.1,1.06,70,145.7,0.79,0.19,0.19,0.15,24,13
rlz,xd,jett,228.5,1.21,67,143.7,0.84,0.11,0.19,0.18,31,21
shadow,PER,jett,228.4,1.12,69,141.8,0.83,0.11,0.19,0.13,38,13
vxzq,vxzq,jett,228.3,1.11,68,154.7,0.86,0.16,0.14,0.12,26,14
mina,ZMM.B,jett,227.6,1.14,72,142.8,0.81,0.15,0.18,0.15,22,15
LeeeeeeN,OG,jett,227.5,1.01,70,140.1,0.79,0.15,0.20,0.18,29,13
Rb,DRX,jett,227.2,1.24,70,138.2,0.80,0.14,0.20,0.18,21,24
corey,TSM,jett,226.9,1.10,71,145.9,0.79,0.21,0.16,0.13,30,13
bungee,CLG,jett,226.8,1.15,72,144.8,0.84,0.11,0.24,0.16,30,26
juseu,BDS,jett,226.4,1.17,70,140.3,0.83,0.12,0.17,0.18,28,29
Nhatthong2k,BAAM,jett,225.8,1.04,65,145.0,0.78,0.18,0.21,0.17,23,4
Dinxx,Insi,jett,225.4,1.17,69,146.1,0.83,0.10,0.16,0.11,30,13
sens3i,LE,jett,225.0,1.04,62,145.1,0.80,0.13,0.18,0.17,28,21
snw,ODK,jett,224.5,1.10,72,144.3,0.81,0.12,0.19,0.14,22,12
kay,SRN.P,jett,224.3,1.03,74,144.7,0.78,0.17,0.17,0.14,30,
epathy,SoaR,jett,224.3,1.09,68,137.2,0.81,0.13,0.20,0.19,26,18
mindle,ODDI,jett,224.3,1.12,72,143.5,0.80,0.15,0.22,0.13,26,15
Vasili,GG,jett,223.9,0.99,65,136.4,0.77,0.13,0.22,0.18,26,5
Dep,ZETA,jett,223.9,1.15,69,141.9,0.82,0.14,0.16,0.14,27,11
BRNWOWZK1,ING,jett,223.2,1.09,67,144.6,0.75,0.20,0.18,0.17,23,26
azys,azys,jett,222.8,1.05,65,143.8,0.78,0.12,0.21,0.19,31,25
Asuna,100T,jett,222.0,1.00,69,142.5,0.76,0.15,0.19,0.20,27,13
jannyXD,RBLS,jett,221.6,1.14,73,140.5,0.79,0.15,0.17,0.15,25,15
penny,V1,jett,221.5,1.12,70,142.0,0.76,0.16,0.18,0.15,23,30
Luzuh,MOUZ,jett,221.3,1.18,69,141.5,0.81,0.13,0.18,0.18,21,9
Yacine,TUN,jett,220.3,0.96,68,143.8,0.74,0.18,0.21,0.20,26,
Deryeon,BLD,jett,220.0,0.99,69,140.1,0.76,0.18,0.17,0.17,18,24
DENYA,PUGS,jett,219.8,1.12,72,138.2,0.79,0.16,0.17,0.16,22,13
Kaoticcc,C4,jett,219.5,1.06,68,141.7,0.79,0.17,0.14,0.17,21,21
zyad,RAAD,jett,219.2,1.13,69,138.0,0.79,0.14,0.21,0.19,19,10
dip,LT,jett,219.0,1.11,72,138.3,0.79,0.19,0.16,0.13,17,19
suerte,AIM,jett,218.9,1.03,71,144.2,0.76,0.19,0.15,0.13,23,7
Sayf,GUILD,jett,217.6,1.15,68,139.6,0.80,0.20,0.18,0.13,22,10
xZe,NKT,jett,217.0,1.09,65,143.3,0.80,0.11,0.15,0.15,41,14
TTyke,TTyke,jett,216.7,1.06,64,143.7,0.80,0.12,0.12,0.20,26,18
Soul,IluZ,jett,216.1,0.93,62,134.0,0.75,0.14,0.22,0.22,28,7
kylo,kylo,jett,216.1,0.99,66,133.4,0.77,0.20,0.18,0.20,23,4
Naschzz,WYG,jett,215.9,1.03,73,140.4,0.77,0.21,0.20,0.19,25,10
Bape,Tita,jett,215.5,0.93,63,137.5,0.76,0.15,0.19,0.25,24,18
acrian,acrian,jett,215.5,1.01,69,139.3,0.77,0.18,0.15,0.18,22,
jakee,Team,jett,215.1,0.97,69,139.1,0.76,0.17,0.14,0.15,25,16
Lin,YFP,jett,215.0,1.06,68,135.8,0.77,0.18,0.16,0.16,17,18
rajadaJJ,rajadaJJ,jett,214.9,1.19,72,135.7,0.79,0.14,0.17,0.12,24,11
HANN,HANN,jett,214.8,0.94,63,141.6,0.73,0.13,0.17,0.20,26,
supermonkey,BAL,jett,214.5,1.01,66,135.7,0.77,0.15,0.19,0.12,26,12
kev,RID,jett,214.4,0.95,66,128.2,0.73,0.16,0.20,0.15,21,16
riku,PK.A,jett,214.3,0.98,65,137.0,0.74,0.21,0.16,0.17,17,20
ANABALA,ANABALA,jett,213.8,0.95,65,133.7,0.73,0.14,0.17,0.21,28,11
luckeRRR,[A],jett,212.8,1.02,63,139.4,0.73,0.16,0.16,0.14,29,
DEA,NWG,jett,212.6,0.91,64,136.5,0.73,0.14,0.20,0.22,30,18
Lynn,GEN.B,jett,212.2,0.96,63,138.0,0.76,0.14,0.20,0.23,24,18
Lex,NMG,jett,211.8,1.02,66,136.1,0.76,0.16,0.14,0.15,24,4
elllement,XL,jett,211.7,1.03,67,136.6,0.75,0.14,0.17,0.14,29,14
snirot,Full,jett,211.3,1.13,70,130.9,0.75,0.11,0.17,0.15,25,24
Flynch,PSJ,jett,210.6,0.98,66,136.3,0.78,0.14,0.17,0.18,27,16
Linysx,GMD,jett,209.6,0.97,72,136.3,0.74,0.19,0.21,0.17,27,33
Theow,ANO,jett,209.1,0.89,67,138.2,0.68,0.19,0.15,0.19,21,22
Wyz,FS,jett,208.8,0.95,65,136.9,0.76,0.12,0.15,0.16,21,3
jayp,SG,jett,208.8,0.95,65,134.7,0.74,0.15,0.15,0.16,22,9
Scroll,TLPR,jett,208.3,0.95,67,137.2,0.74,0.16,0.18,0.16,27,24
Jazzyk1ns,C9W,jett,208.0,1.14,69,135.1,0.74,0.15,0.16,0.17,25,17
JN,VL,jett,206.9,0.94,60,129.7,0.74,0.10,0.16,0.21,24,16
NagZ,KRÜ,jett,206.8,1.08,66,132.3,0.73,0.13,0.18,0.15,22,33
gaabxx,SHK,jett,206.8,0.93,67,136.1,0.68,0.18,0.22,0.21,25,
isafx,TBK,jett,206.6,0.94,64,129.1,0.73,0.12,0.18,0.20,24,25
Izzy,SMB,jett,205.2,0.95,67,133.6,0.75,0.13,0.16,0.14,26,4
Bawn,Team,jett,202.9,0.90,61,135.8,0.73,0.15,0.13,0.19,23,24
DBK,Brim,jett,202.3,1.01,66,128.8,0.74,0.14,0.16,0.15,32,11
nmgreen,nmgreen,jett,201.9,0.91,66,134.4,0.71,0.16,0.16,0.15,27,21
K1LLERS,FCY,jett,201.5,1.00,72,127.6,0.75,0.13,0.18,0.15,31,26
Stefanie,DIG,jett,201.4,0.91,67,130.4,0.70,0.18,0.16,0.17,30,36
TenZ,SEN,jett,200.3,0.89,65,137.8,0.68,0.23,0.16,0.21,23,17
hyjinx,MR,jett,200.2,0.94,67,126.6,0.70,0.13,0.15,0.13,23,
Kouf,NBG,jett,198.0,0.90,65,128.4,0.71,0.14,0.15,0.15,22,19
TheCady,Lixa,jett,194.2,0.80,60,123.5,0.68,0.09,0.19,0.22,28,14
FIEND,RAD,jett,190.5,0.82,70,122.7,0.63,0.23,0.17,0.15,15,8
lugn,Só,jett,184.3,0.82,64,120.7,0.64,0.14,0.15,0.18,25,18
Mae,Mae,jett,183.9,0.94,68,116.8,0.68,0.15,0.13,0.12,20,15
elvis,IluZ,jett,183.6,0.89,70,122.8,0.66,0.13,0.18,0.17,23,
Pepper,DGW,jett,178.0,0.86,68,112.6,0.66,0.16,0.11,0.12,20,14
BEWATER,BEWATER,jett,173.3,0.77,59,112.0,0.63,0.09,0.12,0.16,37,21
KimGyuTae,DSP,jett,171.6,0.82,65,116.6,0.63,0.13,0.13,0.16,23,18
ronaldo,PK,jett,150.8,0.76,63,101.1,0.53,0.14,0.09,0.16,17,21
mimiFPS,mimiFPS,kayo,252.9,1.31,72,161.8,0.89,0.41,0.11,0.10,27,18
RaM,DNAD,kayo,245.8,1.08,70,156.2,0.83,0.34,0.15,0.12,25,10
curry,T1,kayo,243.6,1.32,80,155.3,0.84,0.45,0.10,0.07,23,7
Bobovo,Bobovo,kayo,236.1,1.02,71,150.7,0.80,0.37,0.14,0.11,21,18
Alexy,BRNV,kayo,234.8,1.22,76,153.7,0.80,0.51,0.14,0.18,25,22
NiSMO,Ghost,kayo,230.4,1.36,81,150.6,0.80,0.50,0.09,0.10,27,13
Kakarot,NS,kayo,227.8,1.09,71,149.9,0.75,0.55,0.06,0.07,17,18
Virtyy,OXGA,kayo,227.0,1.09,81,142.6,0.80,0.57,0.11,0.10,25,11
saadhak,LLL,kayo,219.5,1.10,75,136.1,0.73,0.51,0.11,0.15,17,9
jovahnii,CD,kayo,219.4,0.97,73,140.1,0.75,0.52,0.08,0.11,23,13
Excali,Enigma,kayo,216.3,1.13,74,136.8,0.75,0.42,0.14,0.08,24,19
SmokeA,RGE,kayo,215.8,1.18,76,140.0,0.73,0.46,0.09,0.08,27,23
nat1,TL,kayo,214.8,1.00,74,137.1,0.70,0.56,0.14,0.10,19,20
Palla,puGG,kayo,213.4,0.90,69,140.8,0.70,0.42,0.13,0.12,26,18
Bones,TS,kayo,213.2,0.97,75,133.1,0.71,0.48,0.09,0.07,23,8
pMdr1,JUXT,kayo,212.3,1.06,73,131.6,0.74,0.32,0.06,0.11,30,13
Dark3st,past,kayo,211.7,0.99,73,136.6,0.72,0.45,0.10,0.09,26,24
Velocity,UYU,kayo,210.4,0.97,77,137.8,0.73,0.54,0.09,0.07,20,19
Xeppaa,C9,kayo,210.4,0.91,77,135.5,0.69,0.54,0.07,0.10,20,11
Crunchy,SQ,kayo,209.5,1.05,71,132.9,0.70,0.43,0.12,0.10,25,7
melJ,FWOG,kayo,208.5,0.94,69,127.7,0.71,0.42,0.08,0.12,23,21
Scrounge,PUGS,kayo,208.2,0.97,73,133.5,0.71,0.36,0.08,0.09,24,8
vitrix,vitrix,kayo,207.8,1.22,77,135.4,0.74,0.44,0.10,0.07,25,13
fxy0,OG,kayo,205.8,0.94,77,129.5,0.68,0.58,0.08,0.08,23,7
Misty,BCG,kayo,205.5,0.92,69,131.9,0.68,0.36,0.13,0.10,22,8
kongared,AAA,kayo,204.6,0.92,74,134.5,0.70,0.37,0.06,0.10,22,14
YaBoiLewis,FKS,kayo,204.3,0.96,72,132.0,0.70,0.38,0.09,0.11,39,
