player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Benkai,PRX,sova,180.8,1.02,72,127.4,0.61,0.34,0.04,0.06,26,29
Dubbin,Stas,sova,180.1,0.85,72,123.0,0.59,0.34,0.07,0.08,20,17
Zest,DRX,sova,180.0,1.14,77,120.7,0.65,0.31,0.06,0.07,28,20
Awkua,Kowa,sova,179.7,0.91,75,124.7,0.61,0.32,0.07,0.08,22,15
xeta,C9,sova,179.3,0.95,76,121.0,0.61,0.31,0.06,0.05,19,23
Lewy,ZØ,sova,179.1,0.84,67,121.4,0.59,0.30,0.06,0.08,19,16
Shockah,PLR,sova,178.8,0.89,74,122.6,0.58,0.33,0.08,0.06,27,10
Mast3r,TR,sova,178.5,0.90,68,120.7,0.61,0.23,0.03,0.04,24,9
HSB,TE,sova,178.0,0.91,73,126.3,0.61,0.27,0.06,0.06,27,12
zill,LMND,sova,177.9,0.82,69,123.8,0.60,0.34,0.06,0.06,21,12
ethos,Skwi,sova,177.8,0.88,67,124.0,0.61,0.28,0.05,0.08,20,12
Akashi,CES,sova,177.7,0.93,73,119.6,0.61,0.35,0.03,0.04,18,19
Pro,Pro,sova,176.5,0.84,69,129.6,0.58,0.27,0.04,0.06,22,15
KappA,GES,sova,175.9,0.82,70,128.7,0.57,0.31,0.05,0.08,25,10
iluri,FKS,sova,173.8,1.05,76,114.1,0.61,0.29,0.06,0.07,32,16
gob,BIG,sova,173.4,0.91,70,120.9,0.58,0.35,0.05,0.07,26,30
Decay,TLPR,sova,172.3,0.78,68,118.3,0.59,0.29,0.03,0.08,22,4
Felix,DSP,sova,172.0,0.93,74,116.8,0.60,0.38,0.05,0.04,20,8
Ouate,AE,sova,171.6,0.69,69,115.6,0.52,0.34,0.08,0.08,19,20
Fr4nky,FAL,sova,171.6,0.89,69,115.3,0.57,0.34,0.05,0.06,22,19
BcJ,XSET,sova,171.2,0.82,72,121.2,0.53,0.40,0.05,0.08,18,
YorkMonster,NTER,sova,171.1,0.74,68,123.5,0.55,0.35,0.07,0.11,25,2
Arial,B4A,sova,169.9,1.01,73,119.7,0.61,0.31,0.05,0.04,31,20
Vity,BTS,sova,169.0,0.94,74,116.6,0.56,0.38,0.04,0.05,19,21
