player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Wo0t,Wo0t,astra,314,202.0,1.02,71,140.2,0.72,0.32,0.11,0.11,35,23
Yuk1no,Toe,astra,1758,201.6,1.09,64,131.7,0.73,0.25,0.09,0.07,33,19
Shniider,RAAD,astra,1854,201.5,1.05,75,132.6,0.73,0.30,0.09,0.11,35,23
steel,T1,astra,4281,201.5,0.96,71,132.7,0.67,0.28,0.11,0.13,18,14
Midnight,Totoro,astra,1575,201.3,1.03,,130.9,0.72,0.26,0.08,0.11,26,18
Szkicz,Capr,astra,213,201.1,0.90,,129.1,0.69,0.24,0.10,0.09,21,13
kalita,KRÜ,astra,1048,201.0,1.12,82,139.1,0.72,0.31,0.09,0.08,23,14
PapaSmurf,Team,astra,1114,200.8,0.89,69,129.6,0.69,0.28,0.09,0.10,20,9
VHL,VHL,astra,418,200.7,1.02,68,129.4,0.74,0.22,0.09,0.08,39,13
jduh,FF,astra,1096,200.6,1.05,76,134.8,0.72,0.31,0.08,0.07,24,17
LuDraa,OE,astra,343,200.6,0.97,,141.6,0.72,0.30,0.06,0.06,30,17
rain,DIG,astra,2704,200.3,1.02,70,131.2,0.71,0.30,0.08,0.08,20,13
DarkLight,BGN,astra,1134,200.1,1.01,72,133.6,0.72,0.22,0.06,0.06,24,12
mikshak,Hype,astra,448,199.3,0.87,66,134.6,0.68,0.19,0.10,0.08,22,5
Joanne,KARM,astra,231,199.3,1.01,68,134.8,0.71,0.23,0.05,0.08,17,10
ceegu1N,NoOr,astra,969,199.2,1.03,,124.8,0.71,0.27,0.10,0.06,18,12
bananastrangler,Echo,astra,824,199.2,0.85,66,132.9,0.68,0.24,0.12,0.13,29,6
victoria,GUILD,astra,1461,199.0,0.96,72,132.1,0.68,0.35,0.09,0.10,22,17
rankioshi,Sush,astra,512,199.0,0.90,,114.1,0.71,0.13,0.14,0.17,13,11
OYKU,RIX,astra,1550,199.0,1.08,79,130.6,0.71,0.32,0.08,0.07,19,15
